requirement_id,epic,module,requirement_title,requirement_description,business_priority,complexity,estimated_story_points,assigned_role,technology,sprint,status,dependency,acceptance_criteria,risk_level,release_version,created_by,created_date
REQ-033,Order-to-Cash Transformation,Order Management,Order Reconciliation Report,Reconcile orders against payments and shipments nightly,Medium,High,13,Business Analyst,Apache Airflow,3,In Progress,REQ-032,Feature is accessible and passes WCAG 2.1 AA checks,Medium,v1.1,Project Manager,2026-02-04
REQ-034,Order-to-Cash Transformation,Order Management,Order Amendment - Phase 2,"Support quantity and address changes on unshipped orders (extended requirement, cycle 2)",High,Medium,8,Project Manager,FastAPI,3,In Progress,REQ-032,Feature passes security and access-control review,High,v1.1,Project Manager,2026-02-05
REQ-035,Order-to-Cash Transformation,Order Management,Order Cancellation Workflow,Allow customers and agents to cancel orders within policy window,Low,Medium,8,UX Designer,Docker,3,Blocked,None,Data accuracy validated at 100% against source system,Medium,v1.1,Solution Architect,2026-02-05
REQ-036,Order-to-Cash Transformation,Order Management,Bulk Order Upload - Phase 2,"Enable B2B customers to upload bulk orders via CSV/Excel (extended requirement, cycle 2)",High,Medium,13,Project Manager,RabbitMQ,3,Done,None,Business sign-off obtained after UAT walkthrough,Low,v1.1,Client Stakeholder,2026-02-05
REQ-037,Order-to-Cash Transformation,Order Management,Order Amendment,Support quantity and address changes on unshipped orders,Low,High,21,Integration Developer,Kubernetes,4,In Progress,None,Data accuracy validated at 100% against source system,Medium,v1.1,Solution Architect,2026-02-05
REQ-038,Order-to-Cash Transformation,Order Management,Bulk Order Upload,Enable B2B customers to upload bulk orders via CSV/Excel,Medium,High,13,Project Manager,SAP ERP Connector,4,Done,REQ-036,Response time remains under 2 seconds under expected load,Low,v1.1,Solution Architect,2026-02-05
REQ-039,Order-to-Cash Transformation,Order Management,Return Merchandise Authorization - Phase 2,"Generate RMA numbers for product returns (extended requirement, cycle 2)",High,High,21,Solution Architect,Kafka,4,Blocked,REQ-036,No P1/P2 defects open at the time of release,High,v1.1,Solution Architect,2026-02-05
REQ-040,Order-to-Cash Transformation,Order Management,Order Validation Engine - Phase 2,"Validate stock, pricing, and customer eligibility before confirming order (extended requirement, cycle 2)",High,Low,2,Product Owner,GraphQL,4,Done,REQ-037,End-to-end scenario completes successfully across environments,High,v1.1,Delivery Manager,2026-02-07
REQ-041,Order-to-Cash Transformation,Order Management,Order Status Tracking,Provide real-time order status updates to customers,Critical,Medium,13,Database Admin,Docker,4,Done,REQ-036,End-to-end scenario completes successfully across environments,Medium,v1.1,Client Stakeholder,2026-02-09
REQ-042,Order-to-Cash Transformation,Order Management,Order Approval Workflow,Route high-value orders through a manager approval workflow,Low,Medium,13,QA Engineer,MySQL,4,In Progress,REQ-037,Feature passes security and access-control review,Medium,v1.1,Project Manager,2026-02-09
REQ-043,Order-to-Cash Transformation,Order Management,Recurring Orders,Support subscription-based recurring order creation,High,Medium,5,QA Engineer,Tableau,4,Done,None,Audit log captures all required fields correctly,Medium,v1.1,Solution Architect,2026-02-09
REQ-044,Order-to-Cash Transformation,Order Management,Backorder Management - Phase 2,"Handle backorders when inventory is insufficient at order time (extended requirement, cycle 2)",Low,Medium,8,DevOps Engineer,Redis,4,In Progress,REQ-042,Feature works as specified with no critical defects in UAT,High,v1.1,Solution Architect,2026-02-09
REQ-045,Order-to-Cash Transformation,Order Management,Order Split Fulfillment - Phase 2,"Split a single order across multiple warehouses for fulfillment (extended requirement, cycle 2)",Low,Low,5,Data Engineer,React,4,Blocked,None,Data accuracy validated at 100% against source system,Low,v1.1,Solution Architect,2026-02-10
REQ-046,Order-to-Cash Transformation,Order Management,Order Priority Flagging,Flag and prioritize orders from VIP/enterprise customers,Critical,Low,5,DevOps Engineer,Django REST,4,Blocked,None,Data accuracy validated at 100% against source system,Low,v1.1,Solution Architect,2026-02-10
REQ-047,Order-to-Cash Transformation,Order Management,Order Cancellation Workflow - Phase 2,"Allow customers and agents to cancel orders within policy window (extended requirement, cycle 2)",Critical,High,13,DevOps Engineer,Selenium,4,To Do,None,End-to-end scenario completes successfully across environments,High,v1.1,Product Owner,2026-02-12
REQ-048,Order-to-Cash Transformation,Order Management,Return Merchandise Authorization,Generate RMA numbers for product returns,Critical,High,13,Business Analyst,Docker,4,Done,REQ-044,Feature works as specified with no critical defects in UAT,High,v1.1,Business Analyst,2026-02-14
REQ-049,Order-to-Cash Transformation,Order Management,Create Order API - Phase 2,"Develop API for placing customer orders with line items (extended requirement, cycle 2)",High,Low,2,Business Analyst,Redis,5,Done,None,All acceptance test scenarios pass with 100% success rate,Medium,v1.2,Client Stakeholder,2026-02-16
REQ-050,Order-to-Cash Transformation,Order Management,Order Split Fulfillment,Split a single order across multiple warehouses for fulfillment,Medium,Medium,5,DevOps Engineer,Python,5,Done,None,Audit log captures all required fields correctly,Medium,v1.2,Client Stakeholder,2026-02-16
REQ-051,Inventory Visibility & Optimization,Inventory,Inventory Synchronization Enhancement,"Sync inventory counts from ERP system on a scheduled basis (extended requirement, cycle 3)",Critical,Medium,8,BI Developer,Stripe API,5,To Do,None,All acceptance test scenarios pass with 100% success rate,Medium,v1.2,Project Manager,2026-02-17
REQ-052,Inventory Visibility & Optimization,Inventory,Inventory Aging Report - Phase 2,"Report on slow-moving and aging inventory by category (extended requirement, cycle 2)",Medium,Low,3,DevOps Engineer,Azure DevOps,5,Done,REQ-051,Audit log captures all required fields correctly,Medium,v1.2,Delivery Manager,2026-02-17
REQ-053,Inventory Visibility & Optimization,Inventory,Warehouse Transfer Management - Phase 2,"Track inventory transfers between warehouses (extended requirement, cycle 2)",Medium,Low,5,Database Admin,Selenium,5,Done,REQ-052,Business sign-off obtained after UAT walkthrough,Medium,v1.2,Product Owner,2026-02-17
REQ-054,Inventory Visibility & Optimization,Inventory,Cycle Count Reconciliation Enhancement,"Reconcile physical cycle counts against system inventory (extended requirement, cycle 3)",High,Medium,8,Data Engineer,FastAPI Security,5,Done,REQ-052,All acceptance test scenarios pass with 100% success rate,Medium,v1.2,Project Manager,2026-02-17
REQ-055,Inventory Visibility & Optimization,Inventory,Cycle Count Reconciliation - Phase 2,"Reconcile physical cycle counts against system inventory (extended requirement, cycle 2)",Medium,Medium,5,Solution Architect,PostgreSQL,5,Done,REQ-053,Audit log captures all required fields correctly,Medium,v1.2,Delivery Manager,2026-02-18
REQ-056,Inventory Visibility & Optimization,Inventory,Cycle Count Reconciliation,Reconcile physical cycle counts against system inventory,Low,High,21,DevOps Engineer,AWS Lambda,5,Done,None,Audit log captures all required fields correctly,Medium,v1.2,Delivery Manager,2026-02-18
REQ-057,Inventory Visibility & Optimization,Inventory,Safety Stock Calculation - Phase 2,"Calculate safety stock levels using historical demand variability (extended requirement, cycle 2)",Medium,Medium,13,Data Engineer,Power BI,5,To Do,None,Data accuracy validated at 100% against source system,High,v1.2,Delivery Manager,2026-02-20
REQ-058,Inventory Visibility & Optimization,Inventory,Safety Stock Calculation,Calculate safety stock levels using historical demand variability,Medium,Medium,5,DevOps Engineer,Kafka,5,Blocked,REQ-054,Feature passes security and access-control review,Low,v1.2,Solution Architect,2026-02-20
REQ-059,Inventory Visibility & Optimization,Inventory,Multi-Warehouse Stock Allocation - Phase 2,"Allocate stock across warehouses based on demand proximity (extended requirement, cycle 2)",Medium,Medium,5,UX Designer,Django REST,5,Done,REQ-055,Data accuracy validated at 100% against source system,Low,v1.2,Delivery Manager,2026-02-21
REQ-060,Inventory Visibility & Optimization,Inventory,Real-time Stock Availability - Phase 2,"Expose real-time stock availability via API for storefront (extended requirement, cycle 2)",High,Medium,13,DevOps Engineer,Apache Airflow,5,To Do,REQ-055,Response time remains under 2 seconds under expected load,High,v1.2,Product Owner,2026-02-22
REQ-061,Inventory Visibility & Optimization,Inventory,Inventory Aging Report,Report on slow-moving and aging inventory by category,High,Medium,13,Security Analyst,Redis,6,Done,REQ-060,All acceptance test scenarios pass with 100% success rate,Low,v1.2,Delivery Manager,2026-02-23
REQ-062,Inventory Visibility & Optimization,Inventory,Warehouse Transfer Management,Track inventory transfers between warehouses,High,Medium,5,BI Developer,PostgreSQL,6,To Do,None,Data accuracy validated at 100% against source system,Low,v1.2,Solution Architect,2026-02-24
REQ-063,Inventory Visibility & Optimization,Inventory,SKU Master Data Setup,Establish master data structure for SKUs and product attributes,High,Low,5,BI Developer,Python ETL,6,Done,None,Data accuracy validated at 100% against source system,Low,v1.2,Delivery Manager,2026-02-25
REQ-064,Inventory Visibility & Optimization,Inventory,Inventory Adjustment Approval,Require supervisor approval for manual inventory adjustments,Critical,High,13,BI Developer,Django REST,6,In Progress,None,End-to-end scenario completes successfully across environments,Medium,v1.2,Business Analyst,2026-02-26
REQ-065,Inventory Visibility & Optimization,Inventory,Inventory Synchronization,Sync inventory counts from ERP system on a scheduled basis,High,Medium,8,Business Analyst,Salesforce API,6,Done,REQ-063,All acceptance test scenarios pass with 100% success rate,High,v1.2,Solution Architect,2026-02-28
REQ-066,Inventory Visibility & Optimization,Inventory,SKU Master Data Setup - Phase 2,"Establish master data structure for SKUs and product attributes (extended requirement, cycle 2)",High,Low,3,UX Designer,Jenkins,6,Done,REQ-065,All acceptance test scenarios pass with 100% success rate,Low,v1.2,Product Owner,2026-02-28
REQ-067,Inventory Visibility & Optimization,Inventory,Low Stock Alerting,Trigger alerts when SKU inventory falls below reorder threshold,Low,Medium,13,Product Owner,FastAPI Security,6,Done,None,Feature passes security and access-control review,Low,v1.2,Product Owner,2026-02-28
REQ-068,Inventory Visibility & Optimization,Inventory,Low Stock Alerting Enhancement,"Trigger alerts when SKU inventory falls below reorder threshold (extended requirement, cycle 3)",Critical,High,21,Security Analyst,SAP ERP Connector,6,Done,None,Feature is accessible and passes WCAG 2.1 AA checks,Medium,v1.2,Delivery Manager,2026-03-01
REQ-069,Inventory Visibility & Optimization,Inventory,Real-time Stock Availability,Expose real-time stock availability via API for storefront,Critical,Low,3,Database Admin,AWS Lambda,6,Done,REQ-067,Feature works as specified with no critical defects in UAT,High,v1.2,Delivery Manager,2026-03-02
REQ-070,Inventory Visibility & Optimization,Inventory,Real-time Stock Availability Enhancement,"Expose real-time stock availability via API for storefront (extended requirement, cycle 3)",Critical,Medium,8,Senior Consultant,Apache Airflow,6,Done,None,Business sign-off obtained after UAT walkthrough,Medium,v1.2,Delivery Manager,2026-03-02
REQ-071,Inventory Visibility & Optimization,Inventory,Multi-Warehouse Stock Allocation,Allocate stock across warehouses based on demand proximity,High,High,13,Data Engineer,Twilio API,6,Done,None,No P1/P2 defects open at the time of release,Medium,v1.2,Business Analyst,2026-03-03
REQ-072,Inventory Visibility & Optimization,Inventory,Low Stock Alerting - Phase 2,"Trigger alerts when SKU inventory falls below reorder threshold (extended requirement, cycle 2)",Low,Low,5,Business Analyst,Python,6,Done,None,No P1/P2 defects open at the time of release,Low,v1.2,Project Manager,2026-03-04
REQ-073,Inventory Visibility & Optimization,Inventory,Inventory Synchronization - Phase 2,"Sync inventory counts from ERP system on a scheduled basis (extended requirement, cycle 2)",High,Medium,8,Integration Developer,Jenkins,7,Done,REQ-071,End-to-end scenario completes successfully across environments,Medium,v2.0,Business Analyst,2026-03-05
REQ-074,Inventory Visibility & Optimization,Inventory,Warehouse Transfer Management Enhancement,"Track inventory transfers between warehouses (extended requirement, cycle 3)",High,High,13,Data Engineer,Apache Airflow,7,Done,None,End-to-end scenario completes successfully across environments,Medium,v2.0,Product Owner,2026-03-06
REQ-075,Inventory Visibility & Optimization,Inventory,Inventory Adjustment Approval - Phase 2,"Require supervisor approval for manual inventory adjustments (extended requirement, cycle 2)",Critical,High,13,Project Manager,REST API,7,In Progress,None,Response time remains under 2 seconds under expected load,Medium,v2.0,Solution Architect,2026-03-08
REQ-076,Unified Payments Platform,Payments,EMI/Installment Payment Option - Phase 2,"Offer installment-based payment options at checkout (extended requirement, cycle 2)",Critical,Medium,13,Data Engineer,Django REST,7,Done,None,Data accuracy validated at 100% against source system,Medium,v2.0,Product Owner,2026-03-09
REQ-077,Unified Payments Platform,Payments,Multi-Currency Support Enhancement,"Support order payments in multiple currencies with live FX rates (extended requirement, cycle 3)",Critical,High,13,Senior Consultant,RabbitMQ,7,To Do,None,Audit log captures all required fields correctly,High,v2.0,Business Analyst,2026-03-11
REQ-078,Unified Payments Platform,Payments,PCI-DSS Compliance Audit Logging,"Log payment transactions in a PCI-DSS compliant, tokenized manner",Critical,Medium,13,Business Analyst,REST API,7,To Do,REQ-077,Feature is accessible and passes WCAG 2.1 AA checks,Low,v2.0,Product Owner,2026-03-11
REQ-079,Unified Payments Platform,Payments,Payment Reconciliation,Reconcile gateway settlement reports against internal order records,High,Medium,5,Security Analyst,RabbitMQ,7,Done,REQ-077,Data accuracy validated at 100% against source system,High,v2.0,Project Manager,2026-03-11
REQ-080,Unified Payments Platform,Payments,Payment Gateway Integration Enhancement,"Integrate third-party payment gateway for card and wallet payments (extended requirement, cycle 3)",High,High,21,Security Analyst,RabbitMQ,7,Done,REQ-077,Audit log captures all required fields correctly,High,v2.0,Delivery Manager,2026-03-13
REQ-081,Unified Payments Platform,Payments,Wallet & Store Credit,Implement store credit and digital wallet balance management,Critical,Medium,13,Security Analyst,Node.js,7,To Do,REQ-077,Audit log captures all required fields correctly,Medium,v2.0,Business Analyst,2026-03-14
REQ-082,Unified Payments Platform,Payments,Payment Reconciliation Enhancement,"Reconcile gateway settlement reports against internal order records (extended requirement, cycle 3)",High,Medium,8,Senior Consultant,Kubernetes,7,Done,REQ-079,Feature works as specified with no critical defects in UAT,High,v2.0,Solution Architect,2026-03-14
REQ-083,Unified Payments Platform,Payments,Payment Gateway Integration,Integrate third-party payment gateway for card and wallet payments,High,Low,2,Python Developer,Azure DevOps,7,To Do,REQ-080,End-to-end scenario completes successfully across environments,High,v2.0,Client Stakeholder,2026-03-15
REQ-084,Unified Payments Platform,Payments,Fraud Detection Rules Engine,Apply configurable fraud rules to flag suspicious transactions,Medium,Low,5,Security Analyst,SAP ERP Connector,7,Done,None,Feature works as specified with no critical defects in UAT,Medium,v2.0,Business Analyst,2026-03-17
REQ-085,Unified Payments Platform,Payments,Refund Processing - Phase 2,"Automate refund processing back to original payment method (extended requirement, cycle 2)",Low,Medium,8,Senior Consultant,RabbitMQ,8,Done,None,Feature works as specified with no critical defects in UAT,Low,v2.0,Business Analyst,2026-03-19
REQ-086,Unified Payments Platform,Payments,Fraud Detection Rules Engine Enhancement,"Apply configurable fraud rules to flag suspicious transactions (extended requirement, cycle 3)",High,Low,3,DevOps Engineer,Django REST,8,In Progress,REQ-081,Data accuracy validated at 100% against source system,Medium,v2.0,Delivery Manager,2026-03-21
REQ-087,Unified Payments Platform,Payments,Invoice Generation - Phase 2,"Auto-generate tax-compliant invoices upon order confirmation (extended requirement, cycle 2)",High,Medium,5,Database Admin,Apache Airflow,8,Blocked,REQ-086,All acceptance test scenarios pass with 100% success rate,Medium,v2.0,Solution Architect,2026-03-23
REQ-088,Unified Payments Platform,Payments,Multi-Currency Support,Support order payments in multiple currencies with live FX rates,Critical,High,13,Database Admin,REST API,8,Done,REQ-084,Feature works as specified with no critical defects in UAT,High,v2.0,Solution Architect,2026-03-23
REQ-089,Unified Payments Platform,Payments,Payment Retry Logic,Automatically retry failed payment attempts with backoff,Medium,High,21,Business Analyst,Python,8,To Do,None,Response time remains under 2 seconds under expected load,Medium,v2.0,Solution Architect,2026-03-24
REQ-090,Unified Payments Platform,Payments,Invoice Generation,Auto-generate tax-compliant invoices upon order confirmation,Medium,High,13,UX Designer,Salesforce API,8,To Do,None,Feature works as specified with no critical defects in UAT,Low,v2.0,Product Owner,2026-03-25
REQ-091,Unified Payments Platform,Payments,Fraud Detection Rules Engine - Phase 2,"Apply configurable fraud rules to flag suspicious transactions (extended requirement, cycle 2)",Low,Medium,13,Security Analyst,Docker,8,Done,None,Data accuracy validated at 100% against source system,Low,v2.0,Client Stakeholder,2026-03-25
REQ-092,Unified Payments Platform,Payments,Refund Processing Enhancement,"Automate refund processing back to original payment method (extended requirement, cycle 3)",Low,Medium,5,Integration Developer,Node.js,8,To Do,REQ-088,No P1/P2 defects open at the time of release,Medium,v2.0,Project Manager,2026-03-26
REQ-093,Unified Payments Platform,Payments,Payment Reconciliation - Phase 2,"Reconcile gateway settlement reports against internal order records (extended requirement, cycle 2)",Medium,Medium,13,Project Manager,Apache Airflow,8,In Progress,None,Business sign-off obtained after UAT walkthrough,Medium,v2.0,Business Analyst,2026-03-28
REQ-094,Unified Payments Platform,Payments,PCI-DSS Compliance Audit Logging - Phase 2,"Log payment transactions in a PCI-DSS compliant, tokenized manner (extended requirement, cycle 2)",High,Low,3,Database Admin,RabbitMQ,8,Done,REQ-092,Business sign-off obtained after UAT walkthrough,Low,v2.0,Delivery Manager,2026-03-28
REQ-095,Unified Payments Platform,Payments,Payment Retry Logic - Phase 2,"Automatically retry failed payment attempts with backoff (extended requirement, cycle 2)",Medium,High,21,Project Manager,PostgreSQL,8,Done,None,Business sign-off obtained after UAT walkthrough,Low,v2.0,Client Stakeholder,2026-03-28
REQ-096,Unified Payments Platform,Payments,Payment Gateway Integration - Phase 2,"Integrate third-party payment gateway for card and wallet payments (extended requirement, cycle 2)",Low,Low,5,Database Admin,SAP ERP Connector,8,To Do,REQ-094,Data accuracy validated at 100% against source system,Low,v2.0,Business Analyst,2026-03-30
REQ-097,Unified Payments Platform,Payments,Wallet & Store Credit - Phase 2,"Implement store credit and digital wallet balance management (extended requirement, cycle 2)",Critical,Low,3,Data Engineer,Node.js,9,Done,REQ-094,Feature is accessible and passes WCAG 2.1 AA checks,Medium,v2.0,Business Analyst,2026-03-31
REQ-098,Unified Payments Platform,Payments,EMI/Installment Payment Option,Offer installment-based payment options at checkout,High,Low,5,Business Analyst,SendGrid API,9,Done,REQ-096,All acceptance test scenarios pass with 100% success rate,Medium,v2.0,Delivery Manager,2026-03-31
REQ-099,Unified Payments Platform,Payments,Refund Processing,Automate refund processing back to original payment method,Low,Medium,8,QA Engineer,Power BI,9,Done,None,No P1/P2 defects open at the time of release,Low,v2.0,Business Analyst,2026-03-31
REQ-100,Unified Payments Platform,Payments,Multi-Currency Support - Phase 2,"Support order payments in multiple currencies with live FX rates (extended requirement, cycle 2)",Medium,High,21,Database Admin,React,9,Done,REQ-096,Audit log captures all required fields correctly,Medium,v2.0,Delivery Manager,2026-03-31
REQ-101,Logistics & Fulfillment,Shipping,Shipment Tracking Sync,Sync shipment tracking status updates back to order records,Medium,Medium,5,QA Engineer,Tableau,9,Done,None,Feature works as specified with no critical defects in UAT,Low,v2.0,Project Manager,2026-04-02
REQ-102,Logistics & Fulfillment,Shipping,Delivery Exception Handling - Phase 2,"Handle and notify customers of delivery exceptions/delays (extended requirement, cycle 2)",High,High,13,DevOps Engineer,Apache Airflow,9,Done,None,No P1/P2 defects open at the time of release,Low,v2.0,Project Manager,2026-04-04
REQ-103,Logistics & Fulfillment,Shipping,Proof of Delivery Capture Enhancement,"Capture digital signature or photo as proof of delivery (extended requirement, cycle 3)",Critical,High,13,Security Analyst,Salesforce API,9,To Do,None,Response time remains under 2 seconds under expected load,Medium,v2.0,Solution Architect,2026-04-06
